TRAINER_AARON	dragon_tamer
TRAINER_NORMAN_1	leader_norman
TRAINER_NORMAN_2	leader_norman
TRAINER_NORMAN_3	leader_norman
TRAINER_NORMAN_4	leader_norman
TRAINER_NORMAN_5	leader_norman
TRAINER_OLIVIA	beauty
TRAINER_OWEN	cooltrainer_m
TRAINER_PABLO_1	swimming_triathlete_m
TRAINER_PABLO_2	swimming_triathlete_m
TRAINER_PABLO_3	swimming_triathlete_m
TRAINER_PABLO_4	swimming_triathlete_m
TRAINER_PABLO_5	swimming_triathlete_m
TRAINER_PARKER	cooltrainer_m
TRAINER_PAT	pokemon_breeder_f
TRAINER_PATRICIA	hex_maniac
TRAINER_PAUL	school_kid_m
TRAINER_PAULA	battle_girl
TRAINER_PAXTON	expert_m
TRAINER_PERRY	bird_keeper
TRAINER_PETE	swimmer_m
TRAINER_PHIL	bird_keeper
TRAINER_PHILLIP	sailor
TRAINER_PHOEBE	elite_four_phoebe
TRAINER_PRESLEY	bird_keeper
TRAINER_PRESTON	psychic_m
TRAINER_QUINCY	cooltrainer_m
TRAINER_RACHEL	parasol_lady
TRAINER_RANDALL	cooltrainer_m
TRAINER_RED	red
TRAINER_REED	swimmer_m
TRAINER_RELI_AND_IAN	sis_and_bro
TRAINER_REYNA	battle_girl
TRAINER_RHETT	black_belt
TRAINER_RICHARD	swimmer_m
TRAINER_RICK	bug_catcher
TRAINER_RICKY_1	tuber_m
TRAINER_RICKY_2	tuber_m
TRAINER_RICKY_3	tuber_m
TRAINER_RICKY_4	tuber_m
TRAINER_RICKY_5	tuber_m
TRAINER_RILEY	ninja_boy
TRAINER_ROBERT_1	bird_keeper
TRAINER_ROBERT_2	bird_keeper
TRAINER_ROBERT_3	bird_keeper
TRAINER_ROBERT_4	bird_keeper
TRAINER_ROBERT_5	bird_keeper
TRAINER_ROBIN	lass
TRAINER_RODNEY	swimmer_m
TRAINER_ROGER	fisherman
TRAINER_ROLAND	swimmer_m
TRAINER_RONALD	fisherman
TRAINER_ROSE_1	aroma_lady
TRAINER_ROSE_2	aroma_lady
TRAINER_ROSE_3	aroma_lady
TRAINER_ROSE_4	aroma_lady
TRAINER_ROSE_5	aroma_lady
TRAINER_ROXANNE_1	leader_roxanne
TRAINER_ROXANNE_2	leader_roxanne
TRAINER_ROXANNE_3	leader_roxanne
TRAINER_ROXANNE_4	leader_roxanne
TRAINER_ROXANNE_5	leader_roxanne
TRAINER_RUBEN	cooltrainer_m
TRAINER_SALLY	lass
TRAINER_SAMANTHA	psychic_f
TRAINER_SAMUEL	cooltrainer_m
TRAINER_SANTIAGO	swimmer_m
TRAINER_SARAH	lady
TRAINER_SAWYER_1	hiker
TRAINER_SAWYER_2	hiker
TRAINER_SAWYER_3	hiker
TRAINER_SAWYER_4	hiker
TRAINER_SAWYER_5	hiker
TRAINER_SEBASTIAN	pokemon_ranger_m
TRAINER_SHANE	camper
TRAINER_SHANNON	cooltrainer_f
TRAINER_SHARON	swimmer_f
TRAINER_SHAWN	guitarist
TRAINER_SHAYLA	aroma_lady
TRAINER_SHEILA	beauty
TRAINER_SHELBY_1	expert_f
TRAINER_SHELBY_2	expert_f
TRAINER_SHELBY_3	expert_f
TRAINER_SHELBY_4	expert_f
TRAINER_SHELBY_5	expert_f
TRAINER_SHELLY_SEAFLOOR_CAVERN	aqua_admin_f
TRAINER_SHELLY_WEATHER_INSTITUTE	aqua_admin_f
TRAINER_SHIRLEY	beauty
TRAINER_SIDNEY	elite_four_sidney
TRAINER_SIENNA	swimmer_f
TRAINER_SIMON	tuber_m
TRAINER_SOPHIA	pokemon_ranger_f
TRAINER_SOPHIE	picnicker
TRAINER_SPENCER	swimmer_m
TRAINER_SPENSER	palace_maven_spenser
TRAINER_STAN	swimmer_m
TRAINER_STEVEN	steven
TRAINER_STEVE_1	pokemaniac
TRAINER_STEVE_2	pokemaniac
TRAINER_STEVE_3	pokemaniac
TRAINER_STEVE_4	pokemaniac
TRAINER_STEVE_5	pokemaniac
TRAINER_SUSIE	swimmer_f
TRAINER_SYLVIA	hex_maniac
TRAINER_TABITHA_MAGMA_HIDEOUT	magma_admin
TRAINER_TABITHA_MOSSDEEP	magma_admin
TRAINER_TABITHA_MT_CHIMNEY	magma_admin
TRAINER_TAKAO	black_belt
TRAINER_TAKASHI	ninja_boy
TRAINER_TALIA	swimming_triathlete_f
TRAINER_TAMMY	hex_maniac
TRAINER_TANYA	swimmer_f
TRAINER_TARA	swimmer_f
TRAINER_TASHA	hex_maniac
TRAINER_TATE_AND_LIZA_1	leader_tate_and_liza
TRAINER_TATE_AND_LIZA_2	leader_tate_and_liza
TRAINER_TATE_AND_LIZA_3	leader_tate_and_liza
TRAINER_TATE_AND_LIZA_4	leader_tate_and_liza
TRAINER_TATE_AND_LIZA_5	leader_tate_and_liza
TRAINER_TAYLOR	bug_maniac
TRAINER_TED	school_kid_m
TRAINER_TERRY	psychic_f
TRAINER_THALIA_1	beauty
TRAINER_THALIA_2	beauty
TRAINER_THALIA_3	beauty
TRAINER_THALIA_4	beauty
TRAINER_THALIA_5	beauty
TRAINER_THOMAS	gentleman
TRAINER_TIANA	lass
TRAINER_TIFFANY	beauty
TRAINER_TIMMY	youngster
TRAINER_TIMOTHY_1	expert_m
TRAINER_TIMOTHY_2	expert_m
TRAINER_TIMOTHY_3	expert_m
TRAINER_TIMOTHY_4	expert_m
TRAINER_TIMOTHY_5	expert_m
TRAINER_TISHA	swimmer_f
TRAINER_TOMMY	youngster
TRAINER_TONY_1	swimmer_m
TRAINER_TONY_2	swimmer_m
TRAINER_TONY_3	swimmer_m
TRAINER_TONY_4	swimmer_m
TRAINER_TONY_5	swimmer_m
TRAINER_TORI_AND_TIA	twins
TRAINER_TRAVIS	camper
TRAINER_TRENT_1	hiker
TRAINER_TRENT_2	hiker
TRAINER_TRENT_3	hiker
TRAINER_TRENT_4	hiker
TRAINER_TRENT_5	hiker
TRAINER_TUCKER	dome_ace_tucker
TRAINER_TYRA_AND_IVY	sr_and_jr
TRAINER_TYRON	camper
TRAINER_VALERIE_1	hex_maniac
TRAINER_VALERIE_2	hex_maniac
TRAINER_VALERIE_3	hex_maniac
TRAINER_VALERIE_4	hex_maniac
TRAINER_VALERIE_5	hex_maniac
TRAINER_VANESSA	pokefan_f
TRAINER_VICKY	expert_f
TRAINER_VICTOR	pokefan_m
TRAINER_VICTORIA	pokefan_f
TRAINER_VINCENT	cooltrainer_m
TRAINER_VIOLET	aroma_lady
TRAINER_VIRGIL	psychic_m
TRAINER_VITO	cooltrainer_m
TRAINER_VIVI	lass
TRAINER_VIVIAN	battle_girl
TRAINER_WADE	fisherman
TRAINER_WALLACE	champion_wallace
TRAINER_WALLY_MAUVILLE	wally
TRAINER_WALLY_VR_1	wally
TRAINER_WALLY_VR_2	wally
TRAINER_WALLY_VR_3	wally
TRAINER_WALLY_VR_4	wally
TRAINER_WALLY_VR_5	wally
TRAINER_WALTER_1	gentleman
TRAINER_WALTER_2	gentleman
TRAINER_WALTER_3	gentleman
TRAINER_WALTER_4	gentleman
TRAINER_WALTER_5	gentleman
TRAINER_WARREN	cooltrainer_m
TRAINER_WATTSON_1	leader_wattson
TRAINER_WATTSON_2	leader_wattson
TRAINER_WATTSON_3	leader_wattson
TRAINER_WATTSON_4	leader_wattson
TRAINER_WATTSON_5	leader_wattson
TRAINER_WAYNE	fisherman
TRAINER_WENDY	cooltrainer_f
TRAINER_WILLIAM	psychic_m
TRAINER_WILTON_1	cooltrainer_m
TRAINER_WILTON_2	cooltrainer_m
TRAINER_WILTON_3	cooltrainer_m
TRAINER_WILTON_4	cooltrainer_m
TRAINER_WILTON_5	cooltrainer_m
TRAINER_WINONA_1	leader_winona
TRAINER_WINONA_2	leader_winona
TRAINER_WINONA_3	leader_winona
TRAINER_WINONA_4	leader_winona
TRAINER_WINONA_5	leader_winona
TRAINER_WINSTON_1	rich_boy
TRAINER_WINSTON_2	rich_boy
TRAINER_WINSTON_3	rich_boy
TRAINER_WINSTON_4	rich_boy
TRAINER_WINSTON_5	rich_boy
TRAINER_WYATT	pokemaniac
TRAINER_YASU	ninja_boy
TRAINER_YUJI	black_belt
TRAINER_ZANDER	black_belt
