TRAINER_AARON	BAGON:34
TRAINER_JACKI_4	KADABRA:40,LUNATONE:40
TRAINER_JACKI_5	LUNATONE:43,ALAKAZAM:43
TRAINER_JACKSON_1	BRELOOM:27
TRAINER_JACKSON_2	BRELOOM:31
TRAINER_JACKSON_3	BRELOOM:34
TRAINER_JACKSON_4	BRELOOM:37
TRAINER_JACKSON_5	KECLEON:39,BRELOOM:39
TRAINER_JACLYN	ABRA:16
TRAINER_JACOB	VOLTORB:6,VOLTORB:6,MAGNEMITE:14
TRAINER_JAIDEN	NINJASK:26,GULPIN:26
TRAINER_JAMES_1	NINCADA:6,NINCADA:6
TRAINER_JAMES_2	NINJASK:27
TRAINER_JAMES_3	DUSTOX:29,NINJASK:29
TRAINER_JAMES_4	SURSKIT:31,DUSTOX:31,NINJASK:31
TRAINER_JAMES_5	SURSKIT:33,NINJASK:33,DUSTOX:33,NINJASK:33
TRAINER_JANI	MARILL:26
TRAINER_JANICE	MARILL:9
TRAINER_JARED	DODUO:27,SKARMORY:27,TROPIUS:27
TRAINER_JASMINE	MAGNEMITE:14,MAGNEMITE:14,VOLTORB:6
TRAINER_JAYLEN	TRAPINCH:19
TRAINER_JAZMYN	ABSOL:27
TRAINER_JEFF	SLUGMA:22,SLUGMA:22
TRAINER_JEFFREY_1	SURSKIT:27,SURSKIT:27,SURSKIT:27
TRAINER_JEFFREY_2	SURSKIT:31,SURSKIT:31,SURSKIT:31
TRAINER_JEFFREY_3	SURSKIT:34,SURSKIT:34,MASQUERAIN:34
TRAINER_JEFFREY_4	SURSKIT:36,WURMPLE:36,SURSKIT:36,MASQUERAIN:36
TRAINER_JEFFREY_5	SURSKIT:38,DUSTOX:38,SURSKIT:38,MASQUERAIN:38,BEAUTIFLY:38
TRAINER_JENNA	LOTAD:28,LOMBRE:28,NUZLEAF:28
TRAINER_JENNIFER	SABLEYE:30
TRAINER_JENNY_1	WAILMER:34
TRAINER_JENNY_2	WAILMER:38
TRAINER_JENNY_3	WAILMER:41
TRAINER_JENNY_4	STARYU:43,WAILMER:43
TRAINER_JENNY_5	LUVDISC:45,WAILMER:45,STARMIE:45
TRAINER_JEROME	TENTACRUEL:26
TRAINER_JERRY_1	RALTS:9
TRAINER_JERRY_2	RALTS:26,MEDITITE:26
TRAINER_JERRY_3	KIRLIA:29,MEDITITE:29
TRAINER_JERRY_4	KIRLIA:32,MEDICHAM:32
TRAINER_JERRY_5	KIRLIA:34,BANETTE:34,MEDICHAM:34
TRAINER_JESSICA_1	KECLEON:29,SEVIPER:29
TRAINER_JESSICA_2	KECLEON:35,SEVIPER:35
TRAINER_JESSICA_3	KECLEON:38,SEVIPER:38
TRAINER_JESSICA_4	KECLEON:41,SEVIPER:41
TRAINER_JESSICA_5	KECLEON:44,SEVIPER:44
TRAINER_JOCELYN	MEDITITE:13
TRAINER_JODY	ZANGOOSE:26
TRAINER_JOEY	MACHOP:9
TRAINER_JOHANNA	GOLDEEN:13
TRAINER_JOHNSON	SHROOMISH:8,LOTAD:8
TRAINER_JOHN_AND_JAY_1	MEDICHAM:39,HARIYAMA:39
TRAINER_JOHN_AND_JAY_2	MEDICHAM:43,HARIYAMA:43
TRAINER_JOHN_AND_JAY_3	MEDICHAM:46,HARIYAMA:46
TRAINER_JOHN_AND_JAY_4	MEDICHAM:49,HARIYAMA:49
TRAINER_JOHN_AND_JAY_5	MEDICHAM:52,HARIYAMA:52
TRAINER_JONAH	WAILMER:30,TENTACOOL:31,SHARPEDO:32
TRAINER_JONAS	KOFFING:31
TRAINER_JONATHAN	KECLEON:33,LOUDRED:33
TRAINER_JOSE	WURMPLE:8,NINCADA:8
TRAINER_JOSEPH	ELECTRIKE:14,VOLTORB:14
TRAINER_JOSH	GEODUDE:10
TRAINER_JOSHUA	KADABRA:41,SOLROCK:41
TRAINER_JOSUE	TAILLOW:25,WINGULL:25
TRAINER_JUAN_1	LUVDISC:41,WHISCASH:41,SEALEO:43,CRAWDAUNT:43,KINGDRA:46
TRAINER_JUAN_2	POLIWAG:46,WHISCASH:46,WALREIN:48,CRAWDAUNT:48,KINGDRA:51
TRAINER_JUAN_3	POLIWHIRL:50,WHISCASH:51,WALREIN:53,CRAWDAUNT:53,KINGDRA:56
TRAINER_JUAN_4	LAPRAS:56,WHISCASH:58,POLIWHIRL:56,WALREIN:58,CRAWDAUNT:58,KINGDRA:61
TRAINER_JUAN_5	LAPRAS:61,WHISCASH:63,POLITOED:61,WALREIN:63,CRAWDAUNT:63,KINGDRA:66
TRAINER_JULIE	SANDSLASH:42,NINETALES:42,TROPIUS:42
TRAINER_JULIO	MAGNEMITE:21
TRAINER_JUSTIN	KECLEON:24
TRAINER_KAI	BARBOACH:19
TRAINER_KALEB	MINUN:14,PLUSLE:14
TRAINER_KARA	SEAKING:34
TRAINER_KAREN_1	SHROOMISH:9
TRAINER_KAREN_2	SHROOMISH:26,WHISMUR:26
TRAINER_KAREN_3	SHROOMISH:29,LOUDRED:29
TRAINER_KAREN_4	BRELOOM:32,LOUDRED:32
TRAINER_KAREN_5	BRELOOM:35,EXPLOUD:35
TRAINER_KATELYNN	GARDEVOIR:43,SLAKING:43
TRAINER_KATELYN_1	STARYU:35
TRAINER_KATELYN_2	STARYU:39
TRAINER_KATELYN_3	STARYU:42
TRAINER_KATELYN_4	STARMIE:45
TRAINER_KATELYN_5	STARMIE:48
TRAINER_KATE_AND_JOY	SPINDA:30,SLAKING:32
TRAINER_KATHLEEN	KADABRA:36
TRAINER_KATIE	GOLDEEN:33,SPHEAL:33
TRAINER_KAYLA	WOBBUFFET:26,NATU:26,KADABRA:26
TRAINER_KAYLEE	LANTURN:34,PELIPPER:34
TRAINER_KAYLEY	CASTFORM:31
TRAINER_KEEGAN	SLUGMA:23
TRAINER_KEIGO	KOFFING:28,NINJASK:28
TRAINER_KEIRA	LAIRON:45,MANECTRIC:45
TRAINER_KELVIN	MACHOKE:33,SPHEAL:33
TRAINER_KENT	NINJASK:25
TRAINER_KEVIN	SPHEAL:34
TRAINER_KIM_AND_IRIS	SWABLU:32,NUMEL:35
TRAINER_KINDRA	DUSKULL:30,SHUPPET:30
TRAINER_KIRA_AND_DAN_1	VOLBEAT:25,ILLUMISE:25
TRAINER_KIRA_AND_DAN_2	VOLBEAT:30,ILLUMISE:30
TRAINER_KIRA_AND_DAN_3	VOLBEAT:33,ILLUMISE:33
TRAINER_KIRA_AND_DAN_4	VOLBEAT:36,ILLUMISE:36
TRAINER_KIRA_AND_DAN_5	VOLBEAT:39,ILLUMISE:39
TRAINER_KIRK	ELECTRIKE:17,VOLTORB:17
TRAINER_KIYO	HARIYAMA:34
TRAINER_KOICHI	MACHOP:24,MACHOKE:28
TRAINER_KOJI_1	MACHOKE:34
TRAINER_KOJI_2	MACHOKE:37,MACHOKE:37
TRAINER_KOJI_3	MAKUHITA:39,MACHOKE:39,MACHOKE:39
TRAINER_KOJI_4	HARIYAMA:41,MACHOKE:41,MACHOKE:41
TRAINER_KOJI_5	HARIYAMA:43,MACHAMP:43,MACHAMP:43
TRAINER_KYLA	WAILMER:26
TRAINER_KYRA	DODUO:26,DODRIO:26
TRAINER_LAO_1	KOFFING:17,KOFFING:17,KOFFING:17
TRAINER_LAO_2	KOFFING:24,KOFFING:24,KOFFING:24,KOFFING:26
TRAINER_LAO_3	KOFFING:27,KOFFING:27,KOFFING:27,KOFFING:29
TRAINER_LAO_4	KOFFING:30,KOFFING:30,KOFFING:30,KOFFING:32
TRAINER_LAO_5	KOFFING:33,KOFFING:33,KOFFING:33,WEEZING:35
TRAINER_LARRY	NUZLEAF:18
TRAINER_LAURA	MEDITITE:13
TRAINER_LAUREL	LUVDISC:33,LUVDISC:33
TRAINER_LAWRENCE	BALTOY:18,SANDSHREW:18
TRAINER_LEAF	BULBASAUR:5
TRAINER_LEAH	SPOINK:31
TRAINER_LEA_AND_JED	LUVDISC:45,LUVDISC:45
TRAINER_LENNY	GEODUDE:18,MACHOP:18
TRAINER_LEONARD	MACHOP:43,PELIPPER:43,MACHOKE:43
TRAINER_LEONARDO	CARVANHA:34
TRAINER_LEONEL	MANECTRIC:30
TRAINER_LEROY	MAWILE:46,STARMIE:46
TRAINER_LILA_AND_ROY_1	CHINCHOU:34,CARVANHA:33
TRAINER_LILA_AND_ROY_2	CHINCHOU:42,CARVANHA:40
TRAINER_LILA_AND_ROY_3	LANTURN:45,CARVANHA:43
TRAINER_LILA_AND_ROY_4	LANTURN:48,SHARPEDO:46
TRAINER_LILA_AND_ROY_5	LANTURN:51,SHARPEDO:49
TRAINER_LILITH	MEDITITE:13
TRAINER_LINDA	HORSEA:33,SEADRA:33
TRAINER_LISA_AND_RAY	GOLDEEN:27,TENTACOOL:25
TRAINER_LOLA_1	AZURILL:12,AZURILL:12
TRAINER_LOLA_2	MARILL:26,MARILL:26
TRAINER_LOLA_3	MARILL:29,MARILL:29
TRAINER_LOLA_4	MARILL:32,MARILL:32
TRAINER_LOLA_5	AZUMARILL:35,AZUMARILL:35
TRAINER_LORENZO	SEEDOT:28,NUZLEAF:28,LOMBRE:28
TRAINER_LUCAS_1	GEODUDE:18,NUMEL:18
TRAINER_LUCAS_2	WAILMER:9
TRAINER_LUCY	BELDUM:5
TRAINER_LUIS	CARVANHA:26
TRAINER_LUNG	KOFFING:18,NINJASK:18
TRAINER_LYDIA_1	WINGULL:11,SHROOMISH:11,MARILL:11,ROSELIA:11,SKITTY:11,GOLDEEN:11
TRAINER_LYDIA_2	WINGULL:22,SHROOMISH:22,MARILL:22,ROSELIA:22,SKITTY:22,GOLDEEN:22
TRAINER_LYDIA_3	PELIPPER:25,BRELOOM:25,MARILL:25,ROSELIA:25,DELCATTY:25,GOLDEEN:25
TRAINER_LYDIA_4	PELIPPER:28,BRELOOM:28,MARILL:28,ROSELIA:28,DELCATTY:28,GOLDEEN:28
TRAINER_LYDIA_5	PELIPPER:31,BRELOOM:31,AZUMARILL:31,ROSELIA:31,DELCATTY:31,SEAKING:31
TRAINER_LYLE	WURMPLE:3,WURMPLE:3,WURMPLE:3,WURMPLE:3
TRAINER_MACEY	NATU:36
TRAINER_MADELINE_1	NUMEL:19
TRAINER_MADELINE_2	NUMEL:29
TRAINER_MADELINE_3	NUMEL:32
TRAINER_MADELINE_4	ROSELIA:34,NUMEL:34
TRAINER_MADELINE_5	ROSELIA:37,CAMERUPT:37
TRAINER_MAKAYLA	ROSELIA:33,MEDICHAM:33
TRAINER_MARC	GEODUDE:8,GEODUDE:8
TRAINER_MARCEL	MANECTRIC:29,SHIFTRY:29
TRAINER_MARCOS	VOLTORB:15
TRAINER_MARIA_1	DODUO:17
TRAINER_MARIA_2	DODUO:28
TRAINER_MARIA_3	DODUO:31
TRAINER_MARIA_4	DODRIO:34
TRAINER_MARIA_5	DODRIO:37
TRAINER_MARIELA	CHIMECHO:41
TRAINER_MARK	RHYHORN:31
TRAINER_MARLENE	MEDITITE:18,SPOINK:18
TRAINER_MARLEY	MANECTRIC:34
TRAINER_MARTHA	SKITTY:23,SWABLU:23
TRAINER_MARY	DELCATTY:26
TRAINER_MATT	MIGHTYENA:34,GOLBAT:34
TRAINER_MATTHEW	CARVANHA:26
TRAINER_MAURA	KADABRA:36
TRAINER_MAXIE_MAGMA_HIDEOUT	MIGHTYENA:37,CROBAT:38,CAMERUPT:39
TRAINER_MAXIE_MOSSDEEP	MIGHTYENA:42,CROBAT:43,CAMERUPT:44
TRAINER_MAXIE_MT_CHIMNEY	MIGHTYENA:24,ZUBAT:24,CAMERUPT:25
TRAINER_MAY_LILYCOVE_MUDKIP	TROPIUS:31,SLUGMA:32,PELIPPER:32,GROVYLE:34
TRAINER_MAY_LILYCOVE_TORCHIC	TROPIUS:31,LUDICOLO:32,SLUGMA:32,MARSHTOMP:34
TRAINER_MAY_LILYCOVE_TREECKO	TROPIUS:31,PELIPPER:32,LUDICOLO:32,COMBUSKEN:34
TRAINER_MAY_PLACEHOLDER	KYOGRE:5
TRAINER_MAY_ROUTE_103_MUDKIP	TREECKO:5
TRAINER_MAY_ROUTE_103_TORCHIC	MUDKIP:5
TRAINER_MAY_ROUTE_103_TREECKO	TORCHIC:5
TRAINER_MAY_ROUTE_110_MUDKIP	WINGULL:18,SLUGMA:18,GROVYLE:20
TRAINER_MAY_ROUTE_110_TORCHIC	LOMBRE:18,SLUGMA:18,MARSHTOMP:20
TRAINER_MAY_ROUTE_110_TREECKO	WINGULL:18,LOMBRE:18,COMBUSKEN:20
TRAINER_MAY_ROUTE_119_MUDKIP	SLUGMA:29,LOMBRE:29,GROVYLE:31
TRAINER_MAY_ROUTE_119_TORCHIC	LOMBRE:29,SLUGMA:29,MARSHTOMP:31
TRAINER_MAY_ROUTE_119_TREECKO	PELIPPER:29,LOMBRE:29,COMBUSKEN:31
TRAINER_MAY_RUSTBORO_MUDKIP	WINGULL:13,TREECKO:15
TRAINER_MAY_RUSTBORO_TORCHIC	TORKOAL:13,MUDKIP:15
TRAINER_MAY_RUSTBORO_TREECKO	LOTAD:13,TORCHIC:15
TRAINER_MELINA	DODUO:17
TRAINER_MELISSA	MARILL:21
TRAINER_MEL_AND_PAUL	DUSTOX:27,BEAUTIFLY:27
TRAINER_MICAH	MANECTRIC:44,MANECTRIC:44
TRAINER_MICHELLE	TORKOAL:42,MEDICHAM:42,LUDICOLO:42
TRAINER_MIGUEL_1	SKITTY:15
TRAINER_MIGUEL_2	SKITTY:29
TRAINER_MIGUEL_3	SKITTY:32
TRAINER_MIGUEL_4	DELCATTY:35
TRAINER_MIGUEL_5	DELCATTY:38
TRAINER_MIKE_1	PELIPPER:10,POOCHYENA:10
TRAINER_MIKE_2	GEODUDE:16,GEODUDE:16,MACHOP:16
TRAINER_MISSY	GOLDEEN:26
TRAINER_MITCHELL	LUNATONE:43,SOLROCK:43
TRAINER_MIU_AND_YUKI	BEAUTIFLY:26,DUSTOX:26
TRAINER_MOLLIE	WHISCASH:33,MEDITITE:33
TRAINER_MYLES	MAKUHITA:25,WINGULL:25,TROPIUS:25,ZIGZAGOON:25,ELECTRIKE:25,NUMEL:25
TRAINER_NANCY	MARILL:18,LOMBRE:18
TRAINER_NAOMI	ROSELIA:45
TRAINER_NATE	SPOINK:36
TRAINER_NED	TENTACOOL:11
TRAINER_NICHOLAS	WOBBUFFET:36
TRAINER_NICOLAS_1	ALTARIA:37,ALTARIA:37
TRAINER_NICOLAS_2	ALTARIA:41,ALTARIA:41
TRAINER_NICOLAS_3	ALTARIA:44,ALTARIA:44
TRAINER_NICOLAS_4	BAGON:46,ALTARIA:46,ALTARIA:46
TRAINER_NICOLAS_5	ALTARIA:49,ALTARIA:49,SHELGON:49
TRAINER_NIKKI	MARILL:33,SPHEAL:33
TRAINER_NOB_1	MACHOP:19
TRAINER_NOB_2	MACHOKE:27
TRAINER_NOB_3	MACHOP:29,MACHOKE:29
TRAINER_NOB_4	MACHOP:31,MACHOKE:31,MACHOKE:31
TRAINER_NOB_5	MACHOP:33,MACHOKE:33,MACHOKE:33,MACHAMP:33
TRAINER_NOLAN	BARBOACH:19
TRAINER_NOLAND	BELDUM:5
TRAINER_NOLEN	TENTACRUEL:34
TRAINER_NORMAN_1	SPINDA:27,VIGOROTH:27,LINOONE:29,SLAKING:31
TRAINER_NORMAN_2	CHANSEY:42,SLAKING:42,SPINDA:43,SLAKING:45
TRAINER_NORMAN_3	SLAKING:47,CHANSEY:47,KANGASKHAN:45,SPINDA:48,SLAKING:50
TRAINER_NORMAN_4	SLAKING:52,BLISSEY:52,KANGASKHAN:50,SPINDA:53,SLAKING:55
TRAINER_NORMAN_5	SLAKING:57,BLISSEY:57,KANGASKHAN:55,TAUROS:57,SPINDA:58,SLAKING:60
TRAINER_OLIVIA	CLAMPERL:35,CORPHISH:37,LOMBRE:39
TRAINER_OWEN	KECLEON:42,GRAVELER:42,WAILORD:42
TRAINER_PABLO_1	STARYU:33,STARYU:33
TRAINER_PABLO_2	STARYU:37,STARYU:37
TRAINER_PABLO_3	WINGULL:39,STARYU:39,STARYU:39
TRAINER_PABLO_4	PELIPPER:41,STARYU:41,STARYU:41
TRAINER_PABLO_5	PELIPPER:43,STARMIE:43,STARMIE:43
TRAINER_PARKER	SPINDA:26
TRAINER_PAT	POOCHYENA:25,SHROOMISH:25,ELECTRIKE:25,MARILL:25,SANDSHREW:25,GULPIN:25
TRAINER_PATRICIA	BANETTE:41,LUNATONE:41
TRAINER_PAUL	NUMEL:15,ODDISH:15,WINGULL:15
TRAINER_PAULA	BRELOOM:27
TRAINER_PAXTON	SWELLOW:33,BRELOOM:33
TRAINER_PERRY	WINGULL:26
TRAINER_PETE	TENTACOOL:15
TRAINER_PHIL	SWELLOW:26
TRAINER_PHILLIP	TENTACRUEL:44,MACHOKE:44
TRAINER_PHOEBE	DUSCLOPS:48,BANETTE:49,SABLEYE:50,BANETTE:49,DUSCLOPS:51
TRAINER_PRESLEY	TROPIUS:33,XATU:33
TRAINER_PRESTON	KIRLIA:36
TRAINER_QUINCY	SLAKING:43,DUSCLOPS:43
TRAINER_RACHEL	GOLDEEN:26
TRAINER_RANDALL	SWELLOW:26
TRAINER_RED	CHARMANDER:5
TRAINER_REED	SPHEAL:33,SHARPEDO:33
TRAINER_RELI_AND_IAN	AZUMARILL:35,WINGULL:33
TRAINER_REYNA	MEDITITE:33,HARIYAMA:33
TRAINER_RHETT	MAKUHITA:15
TRAINER_RICHARD	PELIPPER:34
TRAINER_RICK	WURMPLE:4,WURMPLE:4
TRAINER_RICKY_1	ZIGZAGOON:13
TRAINER_RICKY_2	LINOONE:27
TRAINER_RICKY_3	LINOONE:30
TRAINER_RICKY_4	LINOONE:33
TRAINER_RICKY_5	LINOONE:36
TRAINER_RILEY	NINCADA:28,KOFFING:28
TRAINER_ROBERT_1	SWABLU:29
TRAINER_ROBERT_2	NATU:32,SWABLU:32
TRAINER_ROBERT_3	NATU:35,ALTARIA:35
TRAINER_ROBERT_4	NATU:38,ALTARIA:38
TRAINER_ROBERT_5	ALTARIA:41,XATU:41
TRAINER_ROBIN	SKITTY:14,SHROOMISH:14,MARILL:14
TRAINER_RODNEY	GYARADOS:34
TRAINER_ROGER	MAGIKARP:15,MAGIKARP:25,GYARADOS:35
TRAINER_ROLAND	CARVANHA:34
TRAINER_RONALD	MAGIKARP:19,GYARADOS:21,GYARADOS:23,GYARADOS:26,GYARADOS:30,GYARADOS:35
TRAINER_ROSE_1	ROSELIA:14,SHROOMISH:14,ROSELIA:14
TRAINER_ROSE_2	SHROOMISH:26,ROSELIA:26
TRAINER_ROSE_3	SHROOMISH:28,GLOOM:28,ROSELIA:28
TRAINER_ROSE_4	SHROOMISH:31,GLOOM:31,ROSELIA:31
TRAINER_ROSE_5	BRELOOM:34,GLOOM:34,ROSELIA:34
TRAINER_ROXANNE_1	GEODUDE:12,GEODUDE:12,NOSEPASS:15
TRAINER_ROXANNE_2	GOLEM:32,KABUTO:35,ONIX:35,NOSEPASS:37
TRAINER_ROXANNE_3	OMANYTE:37,GOLEM:37,KABUTOPS:40,ONIX:40,NOSEPASS:42
TRAINER_ROXANNE_4	OMASTAR:42,GOLEM:42,KABUTOPS:45,ONIX:45,NOSEPASS:47
TRAINER_ROXANNE_5	AERODACTYL:47,GOLEM:47,OMASTAR:47,KABUTOPS:50,STEELIX:50,NOSEPASS:52
TRAINER_RUBEN	SHIFTRY:34,NOSEPASS:34
TRAINER_SALLY	ODDISH:16
TRAINER_SAMANTHA	XATU:36
TRAINER_SAMUEL	SWELLOW:42,MAWILE:42,KADABRA:42
TRAINER_SANTIAGO	TENTACRUEL:33,WAILMER:33
TRAINER_SARAH	LOTAD:8,ZIGZAGOON:8
TRAINER_SAWYER_1	GEODUDE:21
TRAINER_SAWYER_2	GEODUDE:26,NUMEL:26
TRAINER_SAWYER_3	MACHOP:28,NUMEL:28,GRAVELER:28
TRAINER_SAWYER_4	MACHOP:30,NUMEL:30,GRAVELER:30
TRAINER_SAWYER_5	MACHOKE:33,CAMERUPT:33,GOLEM:33
TRAINER_SEBASTIAN	CACTURNE:39
TRAINER_SHANE	SANDSHREW:18,NUZLEAF:18
TRAINER_SHANNON	CLAYDOL:45
TRAINER_SHARON	SEAKING:34
TRAINER_SHAWN	VOLTORB:17,MAGNEMITE:17
TRAINER_SHAYLA	SHROOMISH:18,ROSELIA:18
TRAINER_SHEILA	SHROOMISH:21
TRAINER_SHELBY_1	MEDITITE:21,MAKUHITA:21
TRAINER_SHELBY_2	MEDITITE:30,MAKUHITA:30
TRAINER_SHELBY_3	MEDICHAM:33,HARIYAMA:33
TRAINER_SHELBY_4	MEDICHAM:36,HARIYAMA:36
TRAINER_SHELBY_5	MEDICHAM:39,HARIYAMA:39
TRAINER_SHELLY_SEAFLOOR_CAVERN	SHARPEDO:37,MIGHTYENA:37
TRAINER_SHELLY_WEATHER_INSTITUTE	CARVANHA:28,MIGHTYENA:28
TRAINER_SHIRLEY	NUMEL:21
TRAINER_SIDNEY	MIGHTYENA:46,SHIFTRY:48,CACTURNE:46,CRAWDAUNT:48,ABSOL:49
TRAINER_SIENNA	LUVDISC:33,LUVDISC:33
TRAINER_SIMON	AZURILL:12,MARILL:12
TRAINER_SOPHIA	SWABLU:38,ROSELIA:38
TRAINER_SOPHIE	MARILL:17,LOMBRE:19
TRAINER_SPENCER	TENTACOOL:33,WINGULL:33
TRAINER_SPENSER	BELDUM:5
TRAINER_STAN	HORSEA:34
TRAINER_STEVEN	SKARMORY:77,CLAYDOL:75,AGGRON:76,CRADILY:76,ARMALDO:76,METAGROSS:78
TRAINER_STEVE_1	ARON:19
TRAINER_STEVE_2	LAIRON:27
TRAINER_STEVE_3	LAIRON:29,RHYHORN:29
TRAINER_STEVE_4	LAIRON:32,RHYHORN:32
TRAINER_STEVE_5	AGGRON:35,RHYDON:35
TRAINER_SUSIE	LUVDISC:34
TRAINER_SYLVIA	MEDITITE:36
TRAINER_TABITHA_MAGMA_HIDEOUT	NUMEL:26,MIGHTYENA:28,ZUBAT:30,CAMERUPT:33
TRAINER_TABITHA_MOSSDEEP	CAMERUPT:36,MIGHTYENA:38,GOLBAT:40
TRAINER_TABITHA_MT_CHIMNEY	NUMEL:18,POOCHYENA:20,NUMEL:22,ZUBAT:22
TRAINER_TAKAO	MACHOP:13
TRAINER_TAKASHI	NINJASK:25,KOFFING:25
TRAINER_TALIA	STARYU:34
TRAINER_TAMMY	DUSKULL:29,SHUPPET:29
TRAINER_TANYA	LUVDISC:34
TRAINER_TARA	HORSEA:25,MARILL:25
TRAINER_TASHA	SHUPPET:32
TRAINER_TATE_AND_LIZA_1	CLAYDOL:41,XATU:41,LUNATONE:42,SOLROCK:42
TRAINER_TATE_AND_LIZA_2	SLOWPOKE:48,CLAYDOL:49,XATU:49,LUNATONE:50,SOLROCK:50
TRAINER_TATE_AND_LIZA_3	DROWZEE:53,SLOWPOKE:53,CLAYDOL:54,XATU:54,LUNATONE:55,SOLROCK:55
TRAINER_TATE_AND_LIZA_4	HYPNO:58,CLAYDOL:59,SLOWPOKE:58,XATU:59,LUNATONE:60,SOLROCK:60
TRAINER_TATE_AND_LIZA_5	HYPNO:63,CLAYDOL:64,SLOWKING:63,XATU:64,LUNATONE:65,SOLROCK:65
TRAINER_TAYLOR	WURMPLE:27,CASCOON:27,DUSTOX:27
TRAINER_TED	RALTS:17
TRAINER_TERRY	GIRAFARIG:37
TRAINER_THALIA_1	WAILMER:25,HORSEA:25
TRAINER_THALIA_2	WAILMER:34,HORSEA:34
TRAINER_THALIA_3	LUVDISC:36,WAILMER:36,SEADRA:36
TRAINER_THALIA_4	LUVDISC:38,WAILMER:38,SEADRA:38
TRAINER_THALIA_5	LUVDISC:40,WAILORD:40,KINGDRA:40
TRAINER_THOMAS	ZANGOOSE:45
TRAINER_TIANA	ZIGZAGOON:4,SHROOMISH:4
TRAINER_TIFFANY	CARVANHA:39,SHARPEDO:39
TRAINER_TIMMY	ARON:15,ELECTRIKE:13
TRAINER_TIMOTHY_1	HARIYAMA:27
TRAINER_TIMOTHY_2	HARIYAMA:33
TRAINER_TIMOTHY_3	HARIYAMA:36
TRAINER_TIMOTHY_4	HARIYAMA:39
TRAINER_TIMOTHY_5	HARIYAMA:42
TRAINER_TISHA	CHINCHOU:34
TRAINER_TOMMY	GEODUDE:8,GEODUDE:8
TRAINER_TONY_1	CARVANHA:26
TRAINER_TONY_2	SHARPEDO:30
TRAINER_TONY_3	SHARPEDO:33
TRAINER_TONY_4	STARYU:34,SHARPEDO:36
TRAINER_TONY_5	STARMIE:37,SHARPEDO:39
TRAINER_TORI_AND_TIA	SPINDA:19,SPINDA:19
TRAINER_TRAVIS	SANDSHREW:18
TRAINER_TRENT_1	GEODUDE:16,GEODUDE:17,GEODUDE:16
TRAINER_TRENT_2	GEODUDE:24,GEODUDE:24,GEODUDE:24,GRAVELER:24
TRAINER_TRENT_3	GEODUDE:27,GEODUDE:27,GRAVELER:27,GRAVELER:27
TRAINER_TRENT_4	GEODUDE:30,GRAVELER:30,GRAVELER:30,GRAVELER:30
TRAINER_TRENT_5	GRAVELER:33,GRAVELER:33,GRAVELER:33,GOLEM:33
TRAINER_TUCKER	BELDUM:5
TRAINER_TYRA_AND_IVY	ROSELIA:18,GRAVELER:20
TRAINER_TYRON	SANDSHREW:19
TRAINER_VALERIE_1	SABLEYE:32
TRAINER_VALERIE_2	SABLEYE:31,SPOINK:31
TRAINER_VALERIE_3	SPOINK:35,SABLEYE:35
TRAINER_VALERIE_4	SPOINK:40,SABLEYE:40
TRAINER_VALERIE_5	DUSKULL:42,SABLEYE:42,GRUMPIG:42
TRAINER_VANESSA	PIKACHU:30
TRAINER_VICKY	MEDITITE:18
TRAINER_VICTOR	TAILLOW:16,ZIGZAGOON:16
TRAINER_VICTORIA	ROSELIA:17
TRAINER_VINCENT	SABLEYE:44,MEDICHAM:44,SHARPEDO:44
TRAINER_VIOLET	ROSELIA:26,GLOOM:26
TRAINER_VIRGIL	RALTS:36
TRAINER_VITO	DODRIO:42,KADABRA:42,ELECTRODE:42,SHIFTRY:42
TRAINER_VIVI	MARILL:15,SHROOMISH:15,NUMEL:15
TRAINER_VIVIAN	MEDITITE:17,MEDITITE:17
TRAINER_WADE	TENTACOOL:16
TRAINER_WALLACE	WAILORD:57,TENTACRUEL:55,LUDICOLO:56,WHISCASH:56,GYARADOS:56,MILOTIC:58
TRAINER_WALLY_MAUVILLE	RALTS:16
TRAINER_WALLY_VR_1	ALTARIA:44,DELCATTY:43,ROSELIA:44,MAGNETON:41,GARDEVOIR:45
TRAINER_WALLY_VR_2	ALTARIA:47,DELCATTY:46,ROSELIA:47,MAGNETON:44,GARDEVOIR:48
TRAINER_WALLY_VR_3	ALTARIA:50,DELCATTY:49,ROSELIA:50,MAGNETON:47,GARDEVOIR:51
TRAINER_WALLY_VR_4	ALTARIA:53,DELCATTY:52,ROSELIA:53,MAGNETON:50,GARDEVOIR:54
TRAINER_WALLY_VR_5	ALTARIA:56,DELCATTY:55,ROSELIA:56,MAGNETON:53,GARDEVOIR:57
TRAINER_WALTER_1	MANECTRIC:29
TRAINER_WALTER_2	MANECTRIC:34
TRAINER_WALTER_3	LINOONE:36,MANECTRIC:36
TRAINER_WALTER_4	LINOONE:39,MANECTRIC:39
TRAINER_WALTER_5	LINOONE:41,GOLDUCK:41,MANECTRIC:41
TRAINER_WARREN	GRAVELER:33,LUDICOLO:33
TRAINER_WATTSON_1	VOLTORB:20,ELECTRIKE:20,MAGNETON:22,MANECTRIC:24
TRAINER_WATTSON_2	MAREEP:36,ELECTRODE:36,MAGNETON:38,MANECTRIC:40
TRAINER_WATTSON_3	PIKACHU:39,FLAAFFY:41,ELECTRODE:41,MAGNETON:43,MANECTRIC:45
